昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01,451,451,902,60524,60681,121205,366.61,724.403,1091.013,45658,717,732,1449,100671,101435,202106,2018.76,3082.69,5101.45,45658,541,531,1072,75543,72616,148159,1850.11,1697.88,3547.99,45658,433,429,862,60860,61657,122517,515.5,378.3,893.8,45658,590,587,1177,80547,76806,157353,1325.938,3544.866,4870.804,45658,418,418,836,55777,56037,111814,601.429,1271.821,1873.25,45658,472,471,943,63420,60810,124230,441.99,425.01,867,45658,358,356,714,56910,57308,114218,539.592,486.827,1026.419,45658,726,731,1457,103606,105018,208624,2817,6230,9047,45658,281,279,560,38882,36666,75548,384.4,407.2,791.5999999999999,45658,422,427,849,56658,54556,111214,503.4,761.5,1264.9,45658,416,418,834,53951,54521,108472,508.2,363.1,871.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02,438,436,874,60003,56126,116129,276.527,695.217,971.7439999999999,45659,718,726,1444,103187,104653,207840,1872.19,3348.19,5220.38,45293,533,534,1067,74169,79721,153890,1475,1643.14,3118.14,45293,428,426,854,59942,64235,124177,481.53,418.12,899.65,45659,579,576,1155,85046,81040,166086,1081.56,2690.754,3772.314,45659,398,404,802,55950,58132,114082,489.1916,1089.6396,1578.8312,45659,466,462,928,64102,61740,125842,410.74,428.06,838.8,45659,362,359,721,57302,61600,118902,479.91,395.81,875.72,45659,728,730,1458,101584,108333,209917,2499,5756,8255,45659,283,285,568,41240,39069,80309,353.6,362.2,715.8,45659,426,418,844,60167,55643,115810,384.7,512.6,897.4,45659,408,407,815,53046,55043,108089,409.2,332.2,741.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03,452,452,904,59833,56902,116735,348.109,621.96,970.069,45660,745,747,1492,101043,103011,204054,2066.09,3383.82,5449.91,45660,549,558,1107,72132,83300,155432,1745.98,1781.03,3527.01,45294,446,444,890,58815,68046,126861,573.54,424.59,998.13,45660,609,599,1208,83348,79039,162387,1674.814,3421.024,5095.838,45660,418,421,839,57421,59390,116811,698.848,1316.844,2015.692,45660,462,469,931,65786,61867,127653,469.16,492.95,962.11,45660,359,357,716,55054,57896,112950,571.894,529.593,1101.487,45660,719,720,1439,99732,106492,206224,2225,5602,7827,45660,286,282,568,36220,41585,77805,442,433,875,45660,407,423,830,58575,55429,114004,518.6,558.6,1077.2,45660,434,439,873,53251,54912,108163,419.6,245.6,665.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04,448,448,896,62058,59451,121509,431.029,622.479,1053.508,45661,726,724,1450,101626,103739,205365,2272.85,3713.95,5986.8,45661,544,552,1096,75655,83890,159545,1938.11,1980.66,3918.77,45295,447,448,895,61054,69335,130389,562.41,453.97,1016.38,45661,579,581,1160,82593,74857,157450,1661.084,3899.618,5560.702,45661,406,402,808,55926,57660,113586,676.757,1269.332,1946.089,45661,464,464,928,67040,62665,129705,494.27,535.22,1029.49,45661,355,354,709,56695,55248,111943,598.787,540.716,1139.503,45661,718,718,1436,103936,108822,212758,2724,5490,8214,45661,285,281,566,41573,36069,77642,427.1,513.9,941,45661,436,425,861,61861,55615,117476,521.5,686.6,1208.1,45661,420,420,840,52697,54940,107637,399.8,274.3,674.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05,470,468,938,66388,62877,129265,362.101,653.993,1016.094,45662,754,741,1495,107833,113154,220987,2118.6,3529.34,5647.94,45296,575,586,1161,89490,91382,180872,1852.56,1800.56,3653.12,45296,463,466,929,69177,72320,141497,526.12,407.56,933.68,45662,604,618,1222,93647,87159,180806,1274.216,3868.85400000001,5143.07000000001,45662,420,424,844,61876,62728,124604,735.836,1235.08,1970.916,45662,487,491,978,70311,70555,140866,544.76,488.44,1033.2,45662,378,384,762,65156,63848,129004,524.17,545.04,1069.21,45662,750,746,1496,114034,114907,228941,3087,6262,9349,45662,279,287,566,42151,42249,84400,461,444.6,905.6,45662,409,425,834,59806,59880,119686,466.5,476.8,943.3,45662,441,442,883,59001,62303,121304,460.1,271.6,731.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06,448,448,896,60008,53961,113969,335.594,632.008,967.602,45663,722,726,1448,108236,112169,220405,1918.02,3309.01,5227.03,45663,579,565,1144,83986,91016,175002,1732.789,1757.81,3490.599,45297,464,459,923,68202,74200,142402,512.15,373.03,885.18,45663,596,587,1183,89353,86444,175797,1155.174,2446.755,3601.929,45663,396,403,799,56534,61734,118268,581.75,1394.873,1976.623,45663,468,463,931,67535,65977,133512,495.43,500.29,995.72,45663,373,373,746,62015,63787,125802,506.66,421.69,928.35,45663,726,727,1453,106062,113895,219957,2228,5067,7295,45663,286,285,571,44603,42183,86786,414.9,426.4,841.3,45663,436,425,861,64583,59462,124045,440.8,361.7,802.5,45663,414,419,833,56837,60932,117769,468.3,320.3,788.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-07,442,442,884,62497,58146,120643,369.407,631.767,1001.174,45664,727,723,1450,101370,110650,212020,2141.44,3244.47,5385.91,45298,571,572,1143,81314,91135,172449,1811.137,1763.563,3574.7,45298,447,452,899,64880,73754,138634,605.284,414.521,1019.805,45664,604,601,1205,85644,85030,170674,1895.715,4242.653,6138.368,45664,401,394,795,56809,60133,116942,701.371,1219.33,1920.701,45664,474,475,949,70517,68012,138529,495.73,608.53,1104.26,45664,376,371,747,61674,65771,127445,610.749,612.16,1222.909,45664,725,728,1453,98562,113192,211754,2784,5824,8608,45664,285,285,570,45296,41244,86540,475.9,465.7,941.5999999999999,45664,429,418,847,63932,57599,121531,599.6,538.6,1138.2,45664,431,437,868,56149,60427,116576,530.7,289.1,819.8000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-08,456,458,914,66774,62230,129004,399.292,660.945,1060.237,45665,750,756,1506,106807,116325,223132,2341.18,4205.89,6547.07,45665,593,587,1180,87236,94509,181745,2065.55,2055.16,4120.71,45299,470,460,930,71049,75760,146809,686.69,427.31,1114,45665,635,629,1264,89678,91646,181324,1897.139,4216.37799999999,6113.51699999999,45665,415,418,833,58861,64248,123109,820.534,1556.535,2377.069,45665,473,470,943,70577,68264,138841,625.28,509.13,1134.4099999999999,45665,375,377,752,63428,69717,133145,668.47,706.01,1374.48,45665,727,730,1457,94337,115826,210163,3207,6745,9952,45665,287,290,577,45542,43938,89480,511.8,527.3,1039.1,45665,433,442,875,65563,61663,127226,639.1,829.2,1468.3000000000002,45665,439,440,879,58388,62699,121087,508.2,341.8,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
